version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,team,baseline,v0+pf5cbdbea6082+tb18917fcd105,f5cbdbea60827caf3da51dde4720831a24bc0960566b62613fc82344d3893e64,b18917fcd10532cc3cf67935e12394187e0342d131644e31bf226697797de844,Baseline run for the updated movie-ticket agent surface,Current prompt/tools should route the 10 movie-ticket eval cases with no provider errors,case_accuracy,,0.50,runs/v0_B_group_openrouter_20260729T164702341858.json
v1,team,system_prompt.md + tools.yaml,v1+pbf53ea8392d9+t7d061c3b9538,bf53ea8392d9f8e0ad731119bfb3005a368dc06dccf3a506ddc02c05347126e8,7d061c3b95386bffd49231bba090beed68e761d1987bb62e5f646e3fbeba9f61,Tighten routing for CGV tools and clarify gate behavior,The model should stop probing with cgv_movies/cgv_cinemas before clarification on missing details and before confirmation boundaries,case_accuracy,0.50,0.70,runs/v1_B_group_openrouter_20260729T171126647837.json
